horizon,delta_gap
T_eval,-0.0005648131899320674
T_eval,-0.0004902214320844367
T_eval,-0.0005363537196594326
T_eval,-0.0005776408683287881
T_eval,-0.0005804558357644929
T_eval,-0.0004638247372009685
T_eval,-0.0005348908870341784
T_eval,-0.0005800376723037459
T_eval,-0.0005226018365733776
T_eval,-0.0006425890261525513
T_eval,-0.0006571082196155098
T_eval,-0.00048118510082484356
T_eval,-0.0005832645739612952
T_eval,-0.0005341078992643356
T_eval,-0.0004971191633403871
T_eval,-0.0007181922194208212
T_eval,-0.0005883829071255953
T_eval,-0.0005043822704755563
T_eval,-0.0005993464846141272
T_eval,-0.0006799121440468348
T_eval,-0.00048423836847000246
T_eval,-0.0004724364234445222
T_eval,-0.0005658630582661139
T_eval,-0.0005525968992875496
T_eval,-0.00045609025407289394
T_eval,-0.0006619412830487503
T_eval,-0.0006903778935771765
T_eval,-0.0007358193143514047
T_eval,-0.0005905916869997085
T_eval,-0.0006043796553802938
T_eval,-0.000574340751948399
T_eval,-0.00056495010278379
T_eval,-0.00040593578484759973
T_eval,-0.0007131516586136311
T_eval,-0.0005132987032063774
T_eval,-0.0006873945187160224
T_eval,-0.0005884985527846442
T_eval,-0.0005807015509413649
T_eval,-0.0006271214430694227
T_eval,-0.0006336258461036026
T_eval,-0.0004944097350502163
T_eval,-0.00041161357936680965
T_eval,-0.0006966916213776431
T_eval,-0.0005776661510369374
T_eval,-0.0005814381752140552
T_eval,-0.0005132034443339206
T_eval,-0.0005906379086979552
T_eval,-0.0006672303754129416
T_eval,-0.0005383924920243643
T_eval,-0.0006625511690780961
T_eval,-0.0006294222993989962
T_eval,-0.0005111790154170848
T_eval,-0.0007255140781238234
T_eval,-0.0006390774775204555
T_eval,-0.0006535452894871341
T_eval,-0.0005520712911605274
T_eval,-0.0005493139965800919
T_eval,-0.0006924584261852607
T_eval,-0.000546662806328313
T_eval,-0.0005183444397378612
T_eval,-0.00043531594575318966
T_eval,-0.0005188492395695743
T_eval,-0.0005160746598447119
T_eval,-0.0005131861866181087
T_eval,-0.0005573267352297906
T_eval,-0.0005204061187379372
T_eval,-0.0006799240498628345
T_eval,-0.0005058128485752045
T_eval,-0.0005978922964393618
T_eval,-0.0005082873398706278
T_eval,-0.0006806986626936018
T_eval,-0.0006251823285289282
T_eval,-0.0005535783750105772
T_eval,-0.0006455443016277762
T_eval,-0.0004957462091225162
T_eval,-0.0005896756131035241
T_eval,-0.000533779643681842
T_eval,-0.0006260100630799403
T_eval,-0.0006008560010175579
T_eval,-0.0005212826929705816
T_eval,-0.0006275903259111981
T_eval,-0.0005029365630493388
T_eval,-0.0006057462231047195
T_eval,-0.0005546133994052127
T_eval,-0.0006118621400559299
T_eval,-0.0005557650515798374
T_eval,-0.0004114797251143498
T_eval,-0.0005396520430073215
T_eval,-0.0005752907801618301
